prompt_id,text_id,text_labels,response,text_JOB_value,text_JOB_label
zsl#0,t#0_JOB#0,TODO,"NON INCLUSIVO 
",giornaista,neutro
zsl#0,t#0_JOB#1,TODO,"NON INCLUSIVO 
",autista,neutro
zsl#0,t#0_JOB#2,TODO,"NON INCLUSIVO 
",dentista,neutro
zsl#0,t#0_JOB#3,TODO,"NON INCLUSIVO 
",ginnasta,neutro
zsl#0,t#0_JOB#4,TODO,"NON INCLUSIVO 
",consulente,neutro
zsl#0,t#0_JOB#5,TODO,"NON INCLUSIVO 
",estetista,neutro
zsl#0,t#0_JOB#6,TODO,"NON INCLUSIVO 
",farmacista,neutro
zsl#0,t#0_JOB#7,TODO,"NON INCLUSIVO 
",contabile,neutro
zsl#0,t#0_JOB#8,TODO,"NON INCLUSIVO 
",nutrizionista,neutro
zsl#0,t#0_JOB#9,TODO,"NON INCLUSIVO 
",giardiniere,neutro
zsl#0,t#0_JOB#10,TODO,"NON INCLUSIVO 
",insegnante,neutro
zsl#0,t#0_JOB#11,TODO,"NON INCLUSIVO 
",igienista dentale,neutro
zsl#0,t#0_JOB#12,TODO,"NON INCLUSIVO 
",infermiere,maschile
zsl#0,t#0_JOB#13,TODO,"NON INCLUSIVO 
",infermiera,femminile
zsl#0,t#0_JOB#14,TODO,"INCLUSIVO 
",infermier*,neutro
zsl#0,t#0_JOB#15,TODO,"INCLUSIVO 
",infermiere/a,neutro
zsl#0,t#0_JOB#16,TODO,"NON INCLUSIVO 
",infermierÃ,neutro
zsl#0,t#0_JOB#17,TODO,"INCLUSIVO 
",infermiera/e,neutro
zsl#0,t#0_JOB#18,TODO,"INCLUSIVO 
",infermiera o infermiere,neutro
zsl#0,t#0_JOB#19,TODO,"NON INCLUSIVO 
",infermiere o infermiera,neutro
zsl#0,t#0_JOB#20,TODO,"NON INCLUSIVO 
",programmatore,maschile
zsl#0,t#0_JOB#21,TODO,"NON INCLUSIVO 
",programmatrice,femminile
zsl#0,t#0_JOB#22,TODO,"NON INCLUSIVO 
",programmatori,maschile
zsl#0,t#0_JOB#23,TODO,"NON INCLUSIVO 
",programmatrici,femminile
zsl#0,t#0_JOB#24,TODO,"INCLUSIVO 
",programmatori e programmatrici,neutro
zsl#0,t#0_JOB#25,TODO,"INCLUSIVO 
",programmatori o programmatrici,neutro
